"trknum","trackID","Primary","From","To","Type","Ownership","Time","Latitude","Longitude","Distance","Elevation"
1,"GCBRANGL1","Bright Angel Trail","Bright Angel Trailhead","TRAIL CLOSED IN 2024","2024","Public",2024-02-13 00:00:01,36.0590094871362,-112.146581032107,0,6633.038067825
1,"GCBRANGL1","Bright Angel Trail","Bright Angel Trailhead","TRAIL CLOSED IN 2024","2024","Public",2024-02-13 00:00:02,36.0589884179451,-112.146574439665,0.00149881306386984,6633.005259426
1,"GCBRANGL1","Bright Angel Trail","Bright Angel Trailhead","TRAIL CLOSED IN 2024","2024","Public",2024-02-13 00:00:03,36.0589669560787,-112.146577901274,0.0029911861833277,6636.581374917
1,"GCBRANGL1","Bright Angel Trail","Bright Angel Trailhead","TRAIL CLOSED IN 2024","2024","Public",2024-02-13 00:00:04,36.0589452099403,-112.146576212741,0.00449350011460215,6638.976388044
1,"GCBRANGL1","Bright Angel Trail","Bright Angel Trailhead","TRAIL CLOSED IN 2024","2024","Public",2024-02-13 00:00:05,36.0589222849753,-112.146573867754,0.00607955639903637,6641.40420957
1,"GCBRANGL1","Bright Angel Trail","Bright Angel Trailhead","TRAIL CLOSED IN 2024","2024","Public",2024-02-13 00:00:06,36.0589059504451,-112.146575696144,0.00721041973714298,6641.40420957
1,"GCBRANGL1","Bright Angel Trail","Bright Angel Trailhead","TRAIL CLOSED IN 2024","2024","Public",2024-02-13 00:00:07,36.0588851393822,-112.146579219252,0.00865877822003895,6641.207359176
1,"GCBRANGL1","Bright Angel Trail","Bright Angel Trailhead","TRAIL CLOSED IN 2024","2024","Public",2024-02-13 00:00:08,36.0588624574008,-112.146587825489,0.0102951759013858,6642.71654553
1,"GCBRANGL1","Bright Angel Trail","Bright Angel Trailhead","TRAIL CLOSED IN 2024","2024","Public",2024-02-13 00:00:09,36.0588426323048,-112.14659049179,0.0116701883445135,6644.225731884
1,"GCBRANGL1","Bright Angel Trail","Bright Angel Trailhead","TRAIL CLOSED IN 2024","2024","Public",2024-02-13 00:00:10,36.058821457556,-112.146585937694,0.0131522239625718,6644.488199076
1,"GCBRANGL1","Bright Angel Trail","Bright Angel Trailhead","TRAIL CLOSED IN 2024","2024","Public",2024-02-13 00:00:11,36.0587985145672,-112.146583829881,0.0147384756862904,6644.192923485
1,"GCBRANGL1","Bright Angel Trail","Bright Angel Trailhead","TRAIL CLOSED IN 2024","2024","Public",2024-02-13 00:00:12,36.058780610743,-112.146579782481,0.0159935191448209,6643.077437919
1,"GCBRANGL1","Bright Angel Trail","Bright Angel Trailhead","TRAIL CLOSED IN 2024","2024","Public",2024-02-13 00:00:13,36.0587520708697,-112.146577891067,0.0179641124742977,6642.027569151
1,"GCBRANGL1","Bright Angel Trail","Bright Angel Trailhead","TRAIL CLOSED IN 2024","2024","Public",2024-02-13 00:00:14,36.0587349152234,-112.14657754189,0.0191471089941766,6641.73229356
1,"GCBRANGL1","Bright Angel Trail","Bright Angel Trailhead","TRAIL CLOSED IN 2024","2024","Public",2024-02-13 00:00:15,36.0587119566639,-112.14656984444,0.0207876479076609,6641.502634767
1,"GCBRANGL1","Bright Angel Trail","Bright Angel Trailhead","TRAIL CLOSED IN 2024","2024","Public",2024-02-13 00:00:16,36.0586852748535,-112.146573289385,0.0226373675970926,6640.977700383
1,"GCBRANGL1","Bright Angel Trail","Bright Angel Trailhead","TRAIL CLOSED IN 2024","2024","Public",2024-02-13 00:00:17,36.0586636381984,-112.146571410588,0.0241328593308066,6642.913395924
1,"GCBRANGL1","Bright Angel Trail","Bright Angel Trailhead","TRAIL CLOSED IN 2024","2024","Public",2024-02-13 00:00:18,36.0586447869379,-112.146579791433,0.0255146950825494,6644.324157081
1,"GCBRANGL1","Bright Angel Trail","Bright Angel Trailhead","TRAIL CLOSED IN 2024","2024","Public",2024-02-13 00:00:19,36.0586247398515,-112.14659128436,0.0270393053413016,6645.472451046
1,"GCBRANGL1","Bright Angel Trail","Bright Angel Trailhead","TRAIL CLOSED IN 2024","2024","Public",2024-02-13 00:00:20,36.0586054529001,-112.146605643834,0.0285931931498884,6644.816283066
1,"GCBRANGL1","Bright Angel Trail","Bright Angel Trailhead","TRAIL CLOSED IN 2024","2024","Public",2024-02-13 00:00:21,36.0585850509153,-112.146617261236,0.0301429331100335,6646.128619026
1,"GCBRANGL1","Bright Angel Trail","Bright Angel Trailhead","TRAIL CLOSED IN 2024","2024","Public",2024-02-13 00:00:22,36.0585651118,-112.146622844212,0.0315527633622578,6652.919957619
1,"GCBRANGL1","Bright Angel Trail","Bright Angel Trailhead","TRAIL CLOSED IN 2024","2024","Public",2024-02-13 00:00:23,36.0585476790435,-112.146628819268,0.0328003833357617,6652.821532422
1,"GCBRANGL1","Bright Angel Trail","Bright Angel Trailhead","TRAIL CLOSED IN 2024","2024","Public",2024-02-13 00:00:24,36.0585193894675,-112.14663705153,0.0348045813977477,6653.674550796
1,"GCBRANGL1","Bright Angel Trail","Bright Angel Trailhead","TRAIL CLOSED IN 2024","2024","Public",2024-02-13 00:00:25,36.0584994594484,-112.146643605188,0.0362268403323409,6655.938330327
1,"GCBRANGL1","Bright Angel Trail","Bright Angel Trailhead","TRAIL CLOSED IN 2024","2024","Public",2024-02-13 00:00:26,36.058478860198,-112.146652992919,0.0377412235901372,6655.544629539
1,"GCBRANGL1","Bright Angel Trail","Bright Angel Trailhead","TRAIL CLOSED IN 2024","2024","Public",2024-02-13 00:00:27,36.0584561722485,-112.146661316689,0.0393734302153657,6657.513133479
1,"GCBRANGL1","Bright Angel Trail","Bright Angel Trailhead","TRAIL CLOSED IN 2024","2024","Public",2024-02-13 00:00:28,36.0584361885094,-112.146676687829,0.0409979041488783,6658.825469439
1,"GCBRANGL1","Bright Angel Trail","Bright Angel Trailhead","TRAIL CLOSED IN 2024","2024","Public",2024-02-13 00:00:29,36.058404844556,-112.146688625598,0.0432599647403382,6664.271663673
