"Project","Primary","trackID","From","To","Type","Ownership","Note","Connected"
"GCNP24","South Kaibab Trail","GCSKBAB01","South Kaibab Trailhead","Ooh Aah Point","2024","Public",NA,"GCSRIM01, GCSKBAB02"
"GCNP24","South Kaibab Trail","GCSKBAB02","Ooh Aah Point","Cedar Ridge","2024","Public",NA,"GCSKBAB01, NA"
"GCNP24","South Rim Trail","GCSRIM01","Yaki Point","Mather Point","2024","Public",NA,"GCSKBAB01, GCSRIM02"
"GCNP24","South Rim Trail","GCSRIM02","Mather Point","Yavapai Point","2024","Public",NA,"GCSRIM01, GCSRIM03"
"GCNP24","South Rim Trail","GCSRIM03","Yavapai Point","Grandeur Point","2024","Public",NA,"GCSRIM02, GCSRIM04"
"GCNP24","South Rim Trail","GCSRIM04","Grandeur Point","El Tovar Lodge","2024","Public",NA,"GCSRIM03, GCSRIM05"
"GCNP24","South Rim Trail","GCSRIM05","El Tovar Lodge","Bright Angel Trailhead","2024","Public",NA,"GCSRIM04, GCBRANGL1"
"GCNP24","Bright Angel Trail","GCBRANGL1","Bright Angel Trailhead","TRAIL CLOSED IN 2024","2024","Public",NA,"GCSRIM05, NA"
"GCNP24","Hermit Trail","GCHRMT01","Hermit Trailhead","Waldron Tr Junction","2024","Public",NA,"NA, GCHRMT02"
"GCNP24","Hermit Trail","GCHRMT02","Waldron Tr Junction","Dripping Springs Tr Junction","2024","Public",NA,"GCHRMT01, GCHRMT03"
"GCNP24","Hermit Trail","GCHRMT03","Dripping Springs Tr Junction","Santa Maria Springs","2024","Public",NA,"GCHRMT02, NA"
