"Project","Primary","trackID","From","To","Type","Ownership","Note","Connected","modin","modout","status"
"Iron River Area","Lake Ahmeek Rd","AHMK01","Jones Lake Rd / Gallagher Rd","Unnamed off Lake Ahmeek Rd","Paved","Public",NA,"JNSL07, GLGR03, DEAD188, AHMK02, TRAM20",2024-03-06 09:52:07.338137,2024-03-06 09:45:02.475252,"MODIFIED"
"Iron River Area","Lake Ahmeek Rd","AHMK02","Unnamed off Lake Ahmeek Rd","Unnamed off Lake Ahmeek Rd","Paved","Public",NA,"AHMK01, TRAM20, AHMK03, TRAM21",2023-01-16 21:39:54.416155,2024-03-05 17:08:45.74649,"EXISTING"
"Iron River Area","Lake Ahmeek Rd","AHMK03","Unnamed off Lake Ahmeek Rd","W Lake Ahmeek Rd","Paved","Public",NA,"AHMK02, TRAM21, AHMK04, AHMKW01",2023-01-16 21:39:54.417154,2024-03-05 17:08:45.760494,"EXISTING"
"Iron River Area","Lake Ahmeek Rd","AHMK04","W Lake Ahmeek Rd","Windall Rd","Paved","Public",NA,"AHMK03, AHMKW01, AHMK05, WNDL05",2023-01-16 21:39:54.418156,2024-03-05 17:08:45.775486,"EXISTING"
"Iron River Area","Lake Ahmeek Rd","AHMK05","Windall Rd","Unnamed off Lake Ahmeek Rd","Paved","Public",NA,"AHMK04, WNDL05, AHMK06, TRAM05",2024-02-29 11:44:48.606375,2024-03-05 17:08:45.799458,"EXISTING"
"Iron River Area","Lake Ahmeek Rd","AHMK06","Unnamed off Lake Ahmeek Rd","Unnamed off Lake Ahmeek Rd","Paved","Public",NA,"AHMK05, TRAM05, AHMK07",2024-02-29 11:44:48.582483,2024-03-05 17:08:45.810453,"EXISTING"
"Iron River Area","Lake Ahmeek Rd","AHMK07","Unnamed off Lake Ahmeek Rd","ATV Trail 25","Paved","Public",NA,"AHMK06, AHMK08, ATV2501",2024-02-29 11:44:48.245508,2024-03-05 17:08:45.830442,"EXISTING"
"Iron River Area","Lake Ahmeek Rd","AHMK08","ATV Trail 25","Iron Lake Ln","Paved","Public",NA,"AHMK07, ATV2501, AHMK09, IRLL01",2024-02-29 11:48:42.601614,2024-03-05 17:08:45.841454,"EXISTING"
"Iron River Area","Lake Ahmeek Rd","AHMK09","Iron Lake Ln","Cty Rd A","Paved","Public",NA,"AHMK08, IRLL01, NA",2024-02-29 11:48:50.740423,2024-03-05 17:08:45.861422,"EXISTING"
"Iron River Area","W Lake Ahmeek Rd","AHMKW01","Lake Ahmeek Rd","deadend","Paved","Public",NA,"AHMK03, AHMK04, NA",2023-01-16 21:39:54.428148,2024-03-05 17:08:45.878412,"EXISTING"
"Iron River Area","Anderson Grade Trail","ANDG01","N Delta Rd","Anderson Lake Trail","Trail","Public",NA,"NDLT03, NDLT04, ANDG02, ANDL01",2023-01-16 21:39:54.430147,2024-03-05 17:08:45.898399,"EXISTING"
