"Project","Primary","trackID","From","To","Type","Ownership","Note","Connected","modin","modout","status"
"Minnesota","Waabizheshikana Trail","MNWAAB01","S 63rd Ave W","Munger Tr","Trail","Public",NA,"NA, MNWAAB02, MNWAAB04",2025-01-23 13:58:02.298361,2025-01-23 14:34:53.989588,"EXISTING"
"Minnesota","Waabizheshikana Trail","MNWAAB02","Munger Tr","Spring St","Trail","Public",NA,"MNWAAB01, MNWAAB04, MNWAAB03",2025-01-23 13:58:07.917513,2025-01-23 14:34:54.05555,"EXISTING"
"Minnesota","Spring St / Riverside Dr","MNWAAB03","Waabizheshikana Trail","Munger Tr","Paved","Public",NA,"MNWAAB02, MNWAAB04",2025-01-23 13:58:12.90156,2025-01-23 14:34:54.088533,"EXISTING"
"Minnesota","Munger Trail","MNWAAB04","Riverside Dr","Waabizheshikana Trail","Trail","Public",NA,"MNWAAB03, MNWAAB01, MNWAAB02",2025-01-23 13:58:18.213644,2025-01-23 14:34:54.139502,"EXISTING"
"Minnesota","Superior Hiking Trail","MNFTSIA01","MN Hwy 2","Fantasia Overlook Spur","Trail","Public",NA,"NA, MNFTSIA02",2025-01-23 13:50:20.194811,2025-01-23 14:34:54.197468,"EXISTING"
"Minnesota","Superior Hiking Trail (Fantasia spur)","MNFTSIA02","Superior Hiking Trail","Fantasia Overlook","Trail","Public",NA,"MNFTSIA01, NA",2025-01-23 13:50:30.824924,2025-01-23 14:34:54.237444,"EXISTING"
"Minnesota","Short Line Trail","MNELYSL01","Beck's Rd Parking Lot","Ely's Peak Cutoff Trail","Trail","Public",NA,"NA, MNELYSL02, MNELY04",2025-01-23 14:14:09.102448,2025-01-23 14:34:54.276423,"EXISTING"
"Minnesota","Short Line Trail","MNELYSL02","Ely's Peak Cutoff Trail","Duluth, Winnipeg, Pacific Trail","Trail","Public",NA,"MNELYSL01, MNELY04, MNDWP20",2025-01-23 14:14:15.787022,2025-01-23 14:34:54.310404,"EXISTING"
"Minnesota","Ely's Peak Trail","MNELY01","Duluth, Winnipeg, Pacific Trail","Superior Hiking Trail (Ely's Peak spur)","Trail","Public",NA,"MNDWP20, MNDWP21, MNELYSHT02",2025-01-23 14:13:43.850609,2025-01-23 14:34:54.344383,"EXISTING"
"Minnesota","Superior Hiking Trail (Ely's Peak spur)","MNELYSHT02","Ely's Peak Trail","Superior Hiking Trail","Trail","Public",NA,"MNELY01, MNELYSHT03",2025-01-23 14:13:55.58297,2025-01-23 14:34:54.38236,"EXISTING"
"Minnesota","Superior Hiking Trail","MNELYSHT03","Superior Hiking Trail (Ely's Peak spur)","Ely's Peak Cutoff Trail","Trail","Public",NA,"MNELYSHT02, MNELY04",2025-01-23 14:14:02.373608,2025-01-23 14:34:54.426338,"EXISTING"
"Minnesota","Ely's Peak Cutoff Trail","MNELY04","Superior Hiking Trail","Short Line Trail","Trail","Public",NA,"MNELYSHT03, MNELYSL01, MNELYSL02",2025-01-23 14:34:36.73177,2025-01-23 14:34:54.466314,"EXISTING"
"Minnesota","Duluth, Winnipeg, Pacific Trail","MNDWP20","Short Line Trail","Ely's Peak Trail","Trail","Public",NA,"MNELYSL02, MNDWP21, MNELY01",2025-01-23 14:13:19.886841,2025-01-23 14:34:54.502314,"EXISTING"
"Minnesota","Duluth, Winnipeg, Pacific Trail","MNDWP21","Ely's Peak Trail","Tunnel","Trail","Public",NA,"MNDWP20, MNELY01, MNDWP22",2025-01-23 14:13:26.033731,2025-01-23 14:34:54.55426,"EXISTING"
"Minnesota","Duluth, Winnipeg, Pacific Trail","MNDWP22",NA,NA,"Trail","Public",NA,"MNDWP21, MNDWP23",2025-01-23 14:13:32.590384,2025-01-23 14:34:54.586245,"EXISTING"
"Minnesota","Duluth, Winnipeg, Pacific Trail","MNDWP23","Tunnel",NA,"Trail","Public",NA,"MNDWP22, NA",2025-01-23 14:13:38.580526,2025-01-23 14:34:54.631876,"EXISTING"
"Minnesota","Falls Trail","MNGPFT01","Visitor Center","High Falls / Middle Falls Trail","Trail","Public",NA,"NA, MNGPHF01, MNGPMF01",2025-01-23 20:25:13.080137,2025-01-23 20:35:25.040642,"EXISTING"
