trknum,trackID,Primary,From,To,Type,Ownership,Time,Latitude,Longitude,Distance,Elevation
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:01,36.1396506529832,-81.7275433615611,0,3363.451448682
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:02,36.1396495699315,-81.7275688425467,0.00142700651885209,3363.418640283
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:03,36.1396506529832,-81.7275929824279,0.00277911879505498,3363.090556293
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:04,36.1396506529832,-81.727619804518,0.00427917282906865,3359.940949989
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:05,36.139646320776,-81.7276426032946,0.00558873865442863,3363.123364692
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:06,36.1396495699315,-81.7276680842803,0.00703129123178452,3368.11024134
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:07,36.1396484868796,-81.7276908830569,0.00830852201179286,3370.866146856
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:08,36.1396495699315,-81.7277177051471,0.00981043361886584,3374.114178357
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:09,36.1396473903342,-81.727746337633,0.0114187722760875,3375.32808912
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:10,36.1396491952645,-81.7277747145965,0.0130106561224567,3374.179795155
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:11,36.1396488731543,-81.727809881003,0.0149775003905958,3370.898955255
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:12,36.1396500205512,-81.7278400336469,0.016665673887808,3369.09449331
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:13,36.1396482851922,-81.7278655659405,0.0180985988479402,3367.093180971
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:14,36.139646320776,-81.727892048733,0.0195858575226647,3366.174545799
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:15,36.139646320776,-81.7279161886142,0.0209359062274963,3364.271658657
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:16,36.1396495699315,-81.7279389873908,0.0222304828887752,3363.779532672
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:17,36.1396528190868,-81.7279644683764,0.0236730354067932,3367.355648163
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:18,36.1396568567605,-81.7279885496788,0.0250482798571999,3366.043312203
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:19,36.1396651541926,-81.7280313573586,0.0275097503840158,3364.960635036
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:20,36.1396687895535,-81.7280674466699,0.0295435875799278,3363.221789889
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:21,36.1396712309645,-81.7280945555137,0.031068994474173,3363.582682278
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:22,36.1396712309645,-81.7281213776038,0.0325690481164739,3363.877957869
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:23,36.1396709415709,-81.7281495426279,0.0341443331299934,3362.959322697
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:24,36.1396649638239,-81.7281738273323,0.0355636417403005,3363.320215086
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:25,36.1396573469052,-81.7282027612814,0.0372648924869838,3361.843837131
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:26,36.1396513405211,-81.7282355542578,0.0391450503629729,3362.237537919
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:27,36.139651736035,-81.7282688990996,0.041010095605139,3362.139112722
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:28,36.1396501618386,-81.7282998731569,0.0427457498295387,3361.089243954
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:29,36.1396471279361,-81.7283279558798,0.044330175364813,3359.973758388
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:30,36.1396474038278,-81.7283574119971,0.0459776500729323,3359.25197361
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:31,36.1396512391254,-81.7283849416462,0.0475398191280209,3359.744099595
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:32,36.1396539021385,-81.7284150794909,0.0492352815724696,3360.597117969
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:33,36.1396590058616,-81.728448900883,0.0511592333660102,3360.695543166
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:34,36.1396624444531,-81.7284764308198,0.0527170213219192,3361.089243954
1,BOONEFORK,Boone Fork Trail,Parking Lot,Parking Lot,2024,Public,2024-06-24 00:00:35,36.1396614103186,-81.7285085467103,0.0545145512383593,3358.497380433
