trknum,trackID,Primary,From,To,Type,Ownership,Time,Latitude,Longitude,Distance,Elevation
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:01,46.3926098020761,-91.3367926614618,0,1327.4245427001
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:02,46.3926116520304,-91.336726947341,0.00314319418094328,1320.4626004323
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:03,46.3926140760595,-91.3366605344604,0.00632159785433823,1326.9750676338
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:04,46.3926042634201,-91.3366186843698,0.00843340583682525,1328.2250676357
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:05,46.3925933232966,-91.3365926966922,0.00988721347284642,1330.4658812874
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:06,46.3925859053123,-91.3365651202307,0.0113012349340188,1335.2493458616
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:07,46.3925868038678,-91.3364667085657,0.0160049167503714,1328.4580072686
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:08,46.3925610619777,-91.3364238417619,0.0187175606996525,1330.3215243318
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:09,46.3925707625082,-91.3363664991241,0.0215387885666343,1331.7650938878
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:10,46.3925851099952,-91.3363113612201,0.0243541102180582,1332.8904219735
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:11,46.392623241614,-91.3362548388331,0.0281268909639281,1334.1830728941
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:12,46.3926245649861,-91.3361996908054,0.0307640981986145,1334.8064324751
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:13,46.3926371415679,-91.3361476599692,0.0333981077242634,1335.3772986177
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:14,46.3926969855453,-91.3360838947889,0.0385335301319835,1335.3871411374
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:15,46.3927053581988,-91.3360559786479,0.0399876353660185,1330.7217867996
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:16,46.3927254330316,-91.3360130883158,0.0424623695584823,1333.891078143
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:17,46.3927444003004,-91.3359745313146,0.0447233169040687,1335.2198183025
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:18,46.392766114056,-91.3359120209379,0.0480661259233126,1336.5551201418
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:19,46.3927988945911,-91.3358754660489,0.050925948162957,1339.3274298573
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:20,46.3928287052376,-91.3358359773558,0.053719030058396,1340.8759862901
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:21,46.3928704325168,-91.335786976103,0.0574326504908519,1342.0472461344
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:22,46.39289359568,-91.3357251609732,0.0607922965306767,1342.6279547967
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:23,46.3929242354756,-91.3356785852468,0.0638637037920212,1342.5984272376
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:24,46.3929438868438,-91.335619696023,0.0669883221837267,1340.7677185734
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:25,46.3929817194435,-91.3355593792354,0.0708790805509286,1340.0623379949
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:26,46.3929956564415,-91.3355052585882,0.0736389148415553,1336.5518393019
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:27,46.3930369558481,-91.3354428169232,0.0777671782804243,1336.7847789348
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:28,46.3930530287016,-91.3353949196148,0.0803112609634881,1335.5150938935
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:29,46.3930858086897,-91.3353383064691,0.083839252747827,1334.9770361499
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:30,46.3931154498254,-91.3352922178565,0.0868464458222235,1335.7316293269
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:31,46.3931392125851,-91.3352452179491,0.0896284014434944,1338.1988209317
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:32,46.3931605444613,-91.3352143399274,0.0917137397022386,1339.5177185715
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:33,46.3931939979242,-91.3351406422811,0.0959261477995875,1337.8707369417
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:34,46.3932214727195,-91.3351025094574,0.0985572115482605,1339.4750676528
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:35,46.3932602433193,-91.3350625180384,0.10184720962188,1338.7762487541
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:36,46.3932878563308,-91.3350142183968,0.104841514732045,1335.8398970436
1,ANDG01,Anderson Grade Trail,N Delta Rd,Anderson Lake Trail,Trail,Public,2022-08-05 00:00:37,46.3933118254629,-91.3349624304789,0.107819192509735,1333.1988209241
