"Project","Primary","trackID","From","To","Type","Ownership","Note","Connected","modin","modout","status"
"RLWA","Rainbow Lakes grades","TRRL01",NA,NA,"Grade","Public","Old Road?","NA, NA",2024-03-18 14:47:11.46422,2024-03-18 16:04:01.529442,"EXISTING"
"RLWA","Rainbow Lakes grades","TRRL05",NA,NA,"Grade","Public","Old Road?","NA, NA",2024-03-18 08:04:30.230038,2024-03-18 09:32:35.744932,"EXISTING"
"RLWA","Rainbow Lakes grades","TRRL10",NA,NA,"Grade","Public","Old Road?","NA, NA",2024-03-18 08:04:36.04574,2024-03-18 09:32:35.790905,"EXISTING"
"RLWA","Rainbow Lakes grades","TRRL12",NA,NA,"Grade","Public","Old RR?","NA, NA",2024-03-18 08:04:41.295801,2024-03-18 09:32:35.831882,"EXISTING"
"RLWA","Rainbow Lakes grades","TRRL14",NA,NA,"Grade","Public","Old Road?","NA, NA",2024-03-18 08:04:46.683855,2024-03-18 09:32:35.874857,"EXISTING"
"RLWA","Rainbow Lakes grades","TRRL15",NA,NA,"Grade","Public","Old Road?","NA, NA",2024-03-18 14:49:43.562046,2024-03-18 16:04:00.91379,"EXISTING"
"RLWA","Rainbow Lakes grades","TRRL16",NA,NA,"Grade","Public","Old RR?","NA, NA",2024-03-18 15:56:42.55621,2024-03-18 16:04:00.962776,"EXISTING"
"RLWA","Rainbow Lakes grades","TRRL17",NA,NA,"Grade","Public","Old RR?","NA, NA",2024-03-18 15:56:48.697836,2024-03-18 16:04:01.00972,"EXISTING"
"RLWA","Rainbow Lakes grades","TRRL20",NA,NA,"Grade","Public",NA,"NA, NA",2024-03-18 15:56:55.766129,2024-03-18 16:04:01.580393,"EXISTING"
"RLWA","Rainbow Lakes grades","TRRL21",NA,NA,"Grade","Public","Old RR?","NA, NA",2024-03-18 16:11:57.732891,2024-03-18 16:04:01.05969,"MODIFIED"
"RLWA","Rainbow Lakes grades","TRRL22",NA,NA,"Grade","Public","Old RR?","NA, NA",2024-03-18 15:57:07.998781,2024-03-18 16:04:01.104666,"EXISTING"
"RLWA","Rainbow Lakes grades","TRRL23",NA,NA,"Grade","Public","Old RR?","NA, NA",2024-03-18 15:57:13.618729,2024-03-18 16:04:01.145641,"EXISTING"
"RLWA","Rainbow Lakes grades","TRRL24",NA,NA,"Grade","Public","Old RR?","NA, NA",2024-03-18 15:57:19.851324,2024-03-18 16:04:01.196625,"EXISTING"
"RLWA","Rainbow Lakes grades","TRRL25",NA,NA,"Grade","Public","Old RR?","NA, NA",2024-03-18 08:04:57.205872,2024-03-18 09:32:36.029768,"EXISTING"
"RLWA","Rainbow Lakes grades","TRRL26",NA,NA,"Grade","Public","Old RR?","NA, NA",2024-03-18 08:05:03.152802,2024-03-18 09:32:36.074743,"EXISTING"
"RLWA","Rainbow Lakes grades","TRRL27",NA,NA,"Grade","Public","Old RR?","NA, NA",2024-03-18 08:05:08.576439,2024-03-18 09:32:36.114738,"EXISTING"
"RLWA","Rainbow Lakes grades","TRRL28",NA,NA,"Grade","Public",NA,"NA, NA",2024-03-18 08:05:14.069536,2024-03-18 09:32:36.159693,"EXISTING"
"RLWA","Rainbow Lake Tower Loop","TRRL30","North Country Trail","North Country Trail","Grade","Public","Old Road?","NCTBF033, NCTBF034, NCTBF034, NCTBF035, RLFT01",2024-03-18 08:51:19.906824,2024-03-18 09:32:36.546474,"EXISTING"
"RLWA","Rainbow Lakes grades","TRRL35",NA,NA,"Grade","Public",NA,"NA, NA",2024-03-18 15:57:27.390213,2024-03-18 16:04:01.630363,"EXISTING"
"RLWA","Rainbow Lakes grades","TRRL36",NA,NA,"Grade","Public",NA,"NA, NA",2024-03-18 15:57:33.766809,2024-03-18 16:04:01.690331,"EXISTING"
"RLWA","Rainbow Lakes grades","TRRL37",NA,NA,"Grade","Public",NA,"NA, NA",2024-03-18 15:57:39.482649,2024-03-18 16:04:01.235588,"EXISTING"
"RLWA","Rainbow Lakes grades","TRRL38",NA,NA,"Grade","Public","Old RR?","NA, NA",2024-03-18 15:57:45.407087,2024-03-18 16:04:01.313545,"EXISTING"
"RLWA","Rainbow Lakes grades","TRRL40",NA,NA,"Grade","Public",NA,"NA, NA",2024-03-18 15:57:52.475077,2024-03-18 16:04:01.749298,"EXISTING"
"RLWA","Rainbow Lakes grades","TRRL50",NA,NA,"Grade","Public",NA,"NA, NA",2024-03-18 15:54:10.97369,2024-03-18 16:04:01.872324,"EXISTING"
"RLWA","Rainbow Lakes grades","TRRL51",NA,NA,"Grade","Public",NA,"NA, NA",2024-03-18 15:54:17.574429,2024-03-18 16:04:01.361519,"EXISTING"
