"trknum","trackID","Primary","From","To","Type","Ownership","Time","Latitude","Longitude","Distance","Elevation"
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:01,33.4079437936037,-111.476845136016,0,1883.0774306838
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:02,33.4079539544822,-111.476826795005,0.00127051564232579,1887.6509215044
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:03,33.4079540724922,-111.476783282188,0.00378558334123476,1890.4986905376
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:04,33.4079525077888,-111.476742743208,0.00613122922178852,1892.1817614063
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:05,33.4079642443365,-111.476691904212,0.00917902826940547,1893.5334674451
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:06,33.407975153317,-111.476634379782,0.0125878968790609,1889.6489530035
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:07,33.407990113596,-111.476598785806,0.0148891273770005,1893.339897891
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:08,33.408002348777,-111.476569698532,0.0167699841223177,1894.3832049792
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:09,33.4080066108028,-111.476523648308,0.0194478577695953,1895.5774307028
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:10,33.4080048405941,-111.476491450878,0.0213128727332212,1897.3490842488
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:11,33.4080040041444,-111.476455414044,0.0233966094310924,1893.832023876
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:12,33.4080017623527,-111.476412354166,0.0258902732318589,1895.8563020943
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:13,33.4080057440233,-111.47637413179,0.0281165136706321,1895.3510527497
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:14,33.4080205197572,-111.47633755304,0.0304632227316565,1892.3687692806
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:15,33.4080370171081,-111.476295832305,0.0331292768712925,1891.3451472318
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:16,33.4080548847259,-111.476258950992,0.0355911193054533,1889.7572207202
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:17,33.4080677134413,-111.476221998602,0.0379027319825139,1890.4790054982
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:18,33.4080707659876,-111.476184365232,0.0400880990519222,1888.7106327921
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:19,33.4080735244731,-111.476144388074,0.0424065954160244,1888.6647010335
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:20,33.4080893208303,-111.476103096416,0.0450298225744579,1889.6161446045
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:21,33.408108113488,-111.476068854638,0.0473951015597185,1891.5715251849
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:22,33.4081282920043,-111.47603923541,0.0496007388148874,1891.0498716408
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:23,33.4081595946193,-111.476014045852,0.0522033761384449,1891.9488217734
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:24,33.4081758172063,-111.475978370008,0.0545490299611687,1891.2500028747
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:25,33.4081938059691,-111.475949610389,0.0566227274573943,1892.6279556327
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:26,33.4081908816082,-111.475910174997,0.0589109918750863,1891.4501341086
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:27,33.4081933713144,-111.475876695661,0.0608536949288439,1891.1286117984
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:28,33.4082025912887,-111.475834094094,0.0633967351282044,1891.4895041874
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:29,33.4082059216653,-111.475793861111,0.0657335067588821,1891.8668007759
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:30,33.4082197123823,-111.475748374365,0.068529159459161,1891.9521026133
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:31,33.4082261105105,-111.475712272326,0.0706619411720879,1893.897640674
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:32,33.4082385322702,-111.475672927243,0.0730918843869379,1897.3818926478
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:33,33.408242849003,-111.475628247952,0.075691432204421,1897.6968532782
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:34,33.4082524285596,-111.475591168898,0.0779339873095139,1899.146984514
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:35,33.4082523669022,-111.475551378426,0.0802338852058465,1900.5774307104
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:36,33.408251675579,-111.475503150379,0.0830218791433733,1897.3622076084
1,"BCMCM01","Broadway Cave Hike (Jacob's Crosscut Tr 58)","Broadway Ave TH","Lost Goldmine Tr","2023","Public",2023-02-22 00:00:37,33.4082591288025,-111.475457878659,0.0856885281034393,1899.442260105
