trknum,trackID,Primary,From,To,Type,Ownership,Time,Latitude,Longitude,Distance,Elevation
1,GORNERGRAT1,Riffelsee Trail,Riffelberg Train Station,small pond,2024,Public,2024-10-09T00:00:01Z,45.992865,7.754612,0,8448.81891048
1,GORNERGRAT1,Riffelsee Trail,Riffelberg Train Station,small pond,2024,Public,2024-10-09T00:00:02Z,45.9928495,7.7546171,0.00109831497881017,8446.391088954
1,GORNERGRAT1,Riffelsee Trail,Riffelberg Train Station,small pond,2024,Public,2024-10-09T00:00:03Z,45.9928359,7.7546252,0.00211533318312837,8447.637808116
1,GORNERGRAT1,Riffelsee Trail,Riffelberg Train Station,small pond,2024,Public,2024-10-09T00:00:04Z,45.9928236,7.7546326,0.00303651306325805,8450.196863238
1,GORNERGRAT1,Riffelsee Trail,Riffelberg Train Station,small pond,2024,Public,2024-10-09T00:00:05Z,45.9928133,7.7546378,0.0037906512396483,8450.065629642
1,GORNERGRAT1,Riffelsee Trail,Riffelberg Train Station,small pond,2024,Public,2024-10-09T00:00:06Z,45.9928023,7.7546445,0.00461600739305411,8448.884527278
1,GORNERGRAT1,Riffelsee Trail,Riffelberg Train Station,small pond,2024,Public,2024-10-09T00:00:07Z,45.992791,7.7546513,0.0054623249449608,8451.77166639
1,GORNERGRAT1,Riffelsee Trail,Riffelberg Train Station,small pond,2024,Public,2024-10-09T00:00:08Z,45.9927811,7.7546542,0.00616018477345695,8450.492138829
1,GORNERGRAT1,Riffelsee Trail,Riffelberg Train Station,small pond,2024,Public,2024-10-09T00:00:09Z,45.9927684,7.7546601,0.00708216152150757,8451.476390799
1,GORNERGRAT1,Riffelsee Trail,Riffelberg Train Station,small pond,2024,Public,2024-10-09T00:00:10Z,45.992759,7.7546635,0.00775169617343332,8449.835970849
1,GORNERGRAT1,Riffelsee Trail,Riffelberg Train Station,small pond,2024,Public,2024-10-09T00:00:11Z,45.9927426,7.7546677,0.00890228257790055,8449.80316245
1,GORNERGRAT1,Riffelsee Trail,Riffelberg Train Station,small pond,2024,Public,2024-10-09T00:00:12Z,45.9927262,7.754675,0.0100882275139876,8449.573503657
1,GORNERGRAT1,Riffelsee Trail,Riffelberg Train Station,small pond,2024,Public,2024-10-09T00:00:13Z,45.9927145,7.7546807,0.0109416172671975,8450.885839617
1,GORNERGRAT1,Riffelsee Trail,Riffelberg Train Station,small pond,2024,Public,2024-10-09T00:00:14Z,45.9927048,7.7546859,0.0116567978435226,8452.75591836
1,GORNERGRAT1,Riffelsee Trail,Riffelberg Train Station,small pond,2024,Public,2024-10-09T00:00:15Z,45.992692158176,7.75468899201336,0.0125425150439407,8451.837283188
