"Project","Primary","trackID","From","To","Type","Ownership","Note","Connected","modin","modout","status"
"Tucson","Hunter Tr","PCHOPK01","Barrett Loop parking lot","saddle","Named","Public",NA,"NA, PCHOPK02",2025-02-22 16:14:06.116337,2025-02-22 17:02:57.640516,"EXISTING"
"Tucson","Hunter Tr","PCHOPK02","saddle","Sunset View Tr","Named","Public",NA,"PCHOPK01, PCHOPK03",2025-02-22 16:14:14.856148,2025-02-22 17:02:57.67848,"EXISTING"
"Tucson","Hunter Tr","PCHOPK03","Sunset View Tr","Picacho Peak","Named","Public",NA,"PCHOPK02, NA",2025-02-22 16:14:23.601467,2025-02-22 17:02:57.719456,"EXISTING"
"Tucson","Gould Mine Tr","WSSNPK01","Kinney Rd parking lot","King Canyon Wash Tr","Named","Public",NA,"NA, WSSNPK02, WSSNPK12",2025-02-23 10:22:47.403179,2025-02-23 10:23:56.99979,"EXISTING"
"Tucson","Gould Mine Tr","WSSNPK02","King Canyon Wash Tr","Sendero Esperanza Tr","Named","Public",NA,"WSSNPK01, WSSNPK03",2025-02-23 10:22:52.308359,2025-02-23 10:23:57.075195,"EXISTING"
"Tucson","Sendero Esperanza Tr","WSSNPK03","Gould Mine Tr","Gould Mine","Named","Public",NA,"WSSNPK02, WSSNPK04",2025-02-23 10:22:57.022343,2025-02-23 10:23:57.110109,"EXISTING"
"Tucson","Sendero Esperanza Tr","WSSNPK04","Gould Mine","Hugh Norris Tr","Named","Public",NA,"WSSNPK03, WSSNPK05",2025-02-23 10:23:01.744368,2025-02-23 10:23:57.156115,"EXISTING"
"Tucson","Hugh Norris Tr","WSSNPK05","Sendero Esperanza Tr","King Canyon Tr","Named","Public",NA,"WSSNPK04, WSSNPK06, WSSNPK07",2025-02-23 10:23:07.393785,2025-02-23 10:23:57.234535,"EXISTING"
"Tucson","Hugh Norris Tr","WSSNPK06","King Canyon Tr","Wasson Peak","Named","Public",NA,"WSSNPK05, WSSNPK07, NA",2025-02-23 10:23:12.411753,2025-02-23 10:23:57.258093,"EXISTING"
"Tucson","King Canyon Tr","WSSNPK07","Hugh Norris Tr","mine shaft","Named","Public",NA,"WSSNPK05, WSSNPK06, WSSNPK08",2025-02-23 10:23:18.752918,2025-02-23 10:23:57.313721,"EXISTING"
"Tucson","King Canyon Tr","WSSNPK08","mine shaft","Sweetwater Tr","Named","Public",NA,"WSSNPK07, WSSNPK09",2025-02-23 10:23:23.846161,2025-02-23 10:23:57.358902,"EXISTING"
"Tucson","King Canyon Tr","WSSNPK09","Sweetwater Tr","Sendero Esperanza Tr","Named","Public",NA,"WSSNPK08, WSSNPK10",2025-02-23 10:23:29.465282,2025-02-23 10:23:57.412683,"EXISTING"
"Tucson","King Canyon Tr","WSSNPK10","Sendero Esperanza Tr","King Canyon Wash Tr","Named","Public",NA,"WSSNPK09, WSSNPK11",2025-02-23 10:23:35.036026,2025-02-23 10:23:57.440611,"EXISTING"
"Tucson","King Canyon Wash Tr","WSSNPK11","King Canyon Tr","petroglyphs","Named","Public",NA,"WSSNPK10, WSSNPK12",2025-02-23 10:23:40.583752,2025-02-23 10:23:57.486076,"EXISTING"
"Tucson","King Canyon Wash Tr","WSSNPK12","petroglyphs","Gould Mine Tr","Named","Public",NA,"WSSNPK11, WSSNPK01, WSSNPK02",2025-02-23 10:23:45.918991,2025-02-23 10:23:57.536503,"EXISTING"
"Tucson","Douglas Springs Tr","DGLSSP01","Speedway Blvd parking area","Garwood Tr","Named","Public",NA,"NA, DGLSSP02, GARWOD03",2025-02-23 14:14:09.219101,NA,"NEW"
"Tucson","Douglas Springs Tr","DGLSSP02","Garwood Tr","Converse Tr","Named","Public",NA,"DGLSSP01, GARWOD03, DGLSSP03",2025-02-23 14:14:15.267582,NA,"NEW"
"Tucson","Douglas Springs Tr","DGLSSP03","Converse Tr","Carillo Tr","Named","Public",NA,"DGLSSP02, DGLSSP04",2025-02-23 14:14:21.813364,NA,"NEW"
"Tucson","Douglas Springs Tr","DGLSSP04","Carillo Tr","Three Tank Tr","Named","Public",NA,"DGLSSP03, DGLSSP05, THRTNK01",2025-02-23 14:14:27.41713,NA,"NEW"
"Tucson","Douglas Springs Tr","DGLSSP05","Three Tank Tr","Bridal Wreath Falls Tr","Named","Public",NA,"DGLSSP04, THRTNK01, BRDLWF01",2025-02-23 14:14:33.06798,NA,"NEW"
"Tucson","Three Tank Tr","THRTNK01","Douglas Springs Tr","Carillo Tr","Named","Public",NA,"DGLSSP04, DGLSSP05, CARILO02",2025-02-23 14:15:15.788216,NA,"NEW"
"Tucson","Carillo Tr","CARILO02","Three Tank Tr","Garwood Tr","Named","Public",NA,"THRTNK01, GARWOD01",2025-02-23 14:14:00.235819,NA,"NEW"
"Tucson","Garwood Tr","GARWOD01","Carillo Tr","Wildhorse Tr","Named","Public",NA,"CARILO02, GARWOD02",2025-02-23 14:14:40.683235,NA,"NEW"
"Tucson","Garwood Tr","GARWOD02","Wildhorse Tr","Converse Tr","Named","Public",NA,"GARWOD01, GARWOD03",2025-02-23 14:14:46.406857,NA,"NEW"
"Tucson","Garwood Tr","GARWOD03","Converse Tr","Douglas Springs Tr","Named","Public",NA,"GARWOD02, DGLSSP01, DGLSSP02",2025-02-23 14:14:53.256554,NA,"NEW"
"Tucson","Bridal Wreath Falls Tr","BRDLWF01","Douglas Springs Tr","Bridal Wreath Falls","Named","Public",NA,"DGLSSP05, NA",2025-02-23 14:13:54.708818,NA,"NEW"
